epoch,train_loss,val_loss,val_l1,val_l2,lr_model,lr_latent,elapsed_s
68,0.001415,0.001448,0.001322,0.000127,1.00e-04,1.00e-03,257.8
69,0.001399,0.001426,0.001299,0.000127,1.00e-04,1.00e-03,261.6
70,0.001397,0.001416,0.001289,0.000127,1.00e-04,1.00e-03,265.4
71,0.001389,0.001432,0.001305,0.000127,1.00e-04,1.00e-03,269.1
72,0.001386,0.001389,0.001262,0.000127,1.00e-04,1.00e-03,272.9
73,0.001377,0.001519,0.001392,0.000127,1.00e-04,1.00e-03,276.6
74,0.001366,0.001383,0.001255,0.000127,1.00e-04,1.00e-03,280.4
75,0.001363,0.001581,0.001453,0.000127,1.00e-04,1.00e-03,284.2
76,0.001346,0.001330,0.001203,0.000128,1.00e-04,1.00e-03,288.0
77,0.001351,0.001404,0.001276,0.000128,1.00e-04,1.00e-03,291.7
78,0.001344,0.001409,0.001281,0.000128,1.00e-04,1.00e-03,295.5
79,0.001334,0.001416,0.001288,0.000128,1.00e-04,1.00e-03,299.3
80,0.001333,0.001333,0.001205,0.000128,1.00e-04,1.00e-03,303.0
81,0.001316,0.001347,0.001218,0.000128,1.00e-04,1.00e-03,306.8
82,0.001312,0.001301,0.001173,0.000128,1.00e-04,1.00e-03,310.6
83,0.001309,0.001318,0.001190,0.000129,1.00e-04,1.00e-03,314.3
84,0.001304,0.001438,0.001309,0.000129,1.00e-04,1.00e-03,318.1
85,0.001299,0.001314,0.001185,0.000129,1.00e-04,1.00e-03,321.9
86,0.001298,0.001313,0.001184,0.000129,1.00e-04,1.00e-03,325.7
87,0.001288,0.001397,0.001268,0.000129,1.00e-04,1.00e-03,329.4
88,0.001287,0.001314,0.001185,0.000129,1.00e-04,1.00e-03,333.2
89,0.001277,0.001305,0.001175,0.000129,1.00e-04,1.00e-03,337.0
90,0.001262,0.001333,0.001204,0.000129,1.00e-04,1.00e-03,340.7
91,0.001264,0.001297,0.001168,0.000129,1.00e-04,1.00e-03,344.5
92,0.001258,0.001359,0.001230,0.000129,1.00e-04,1.00e-03,348.2
93,0.001247,0.001341,0.001212,0.000129,1.00e-04,1.00e-03,352.0
94,0.001246,0.001235,0.001105,0.000130,1.00e-04,1.00e-03,355.7
95,0.001246,0.001269,0.001139,0.000130,1.00e-04,1.00e-03,359.5
96,0.001235,0.001315,0.001185,0.000130,1.00e-04,1.00e-03,363.3
97,0.001228,0.001322,0.001193,0.000130,1.00e-04,1.00e-03,367.0
98,0.001227,0.001318,0.001188,0.000130,1.00e-04,1.00e-03,370.8
99,0.001221,0.001243,0.001114,0.000130,1.00e-04,1.00e-03,374.5
100,0.001214,0.001236,0.001106,0.000130,1.00e-04,1.00e-03,378.3
101,0.001211,0.001213,0.001083,0.000130,1.00e-04,1.00e-03,382.1
102,0.001217,0.001219,0.001089,0.000130,1.00e-04,1.00e-03,385.8
103,0.001204,0.001242,0.001113,0.000130,1.00e-04,1.00e-03,389.6
104,0.001195,0.001237,0.001107,0.000130,1.00e-04,1.00e-03,393.4
105,0.001191,0.001320,0.001190,0.000130,1.00e-04,1.00e-03,397.2
106,0.001182,0.001242,0.001112,0.000130,1.00e-04,1.00e-03,400.9
107,0.001193,0.001224,0.001094,0.000130,1.00e-04,1.00e-03,404.6
108,0.001176,0.001211,0.001081,0.000130,1.00e-04,1.00e-03,408.4
109,0.001181,0.001202,0.001072,0.000130,1.00e-04,1.00e-03,412.2
110,0.001163,0.001192,0.001061,0.000130,1.00e-04,1.00e-03,416.0
111,0.001174,0.001230,0.001100,0.000130,1.00e-04,1.00e-03,419.7
112,0.001165,0.001212,0.001082,0.000130,1.00e-04,1.00e-03,423.5
113,0.001158,0.001253,0.001123,0.000130,1.00e-04,1.00e-03,427.3
114,0.001159,0.001154,0.001024,0.000130,1.00e-04,1.00e-03,431.0
115,0.001155,0.001198,0.001068,0.000130,1.00e-04,1.00e-03,434.8
116,0.001145,0.001240,0.001110,0.000130,1.00e-04,1.00e-03,438.5
117,0.001139,0.001216,0.001086,0.000130,1.00e-04,1.00e-03,442.3
118,0.001138,0.001187,0.001056,0.000130,1.00e-04,1.00e-03,446.0
119,0.001126,0.001157,0.001027,0.000130,1.00e-04,1.00e-03,449.8
120,0.001129,0.001215,0.001085,0.000130,1.00e-04,1.00e-03,453.5
121,0.001132,0.001154,0.001024,0.000130,1.00e-04,1.00e-03,457.3
122,0.001113,0.001150,0.001020,0.000130,1.00e-04,1.00e-03,461.1
123,0.001120,0.001241,0.001111,0.000130,1.00e-04,1.00e-03,464.9
124,0.001121,0.001132,0.001002,0.000130,1.00e-04,1.00e-03,468.6
125,0.001111,0.001143,0.001013,0.000130,1.00e-04,1.00e-03,472.3
126,0.001110,0.001118,0.000988,0.000130,1.00e-04,1.00e-03,476.1
127,0.001102,0.001188,0.001058,0.000130,1.00e-04,1.00e-03,479.9
128,0.001094,0.001124,0.000994,0.000130,1.00e-04,1.00e-03,483.6
129,0.001096,0.001107,0.000977,0.000130,1.00e-04,1.00e-03,487.4
130,0.001093,0.001151,0.001021,0.000130,1.00e-04,1.00e-03,491.1
131,0.001089,0.001147,0.001017,0.000130,1.00e-04,1.00e-03,494.9
132,0.001091,0.001129,0.000998,0.000130,1.00e-04,1.00e-03,498.6
133,0.001083,0.001145,0.001015,0.000130,1.00e-04,1.00e-03,502.4
134,0.001078,0.001140,0.001011,0.000130,1.00e-04,1.00e-03,506.2
135,0.001072,0.001131,0.001001,0.000130,1.00e-04,1.00e-03,509.9
136,0.001078,0.001160,0.001030,0.000130,1.00e-04,1.00e-03,513.6
137,0.001075,0.001134,0.001004,0.000130,1.00e-04,1.00e-03,517.4
138,0.001061,0.001099,0.000969,0.000130,1.00e-04,1.00e-03,521.1
139,0.001065,0.001145,0.001015,0.000130,1.00e-04,1.00e-03,524.9
140,0.001058,0.001082,0.000952,0.000130,1.00e-04,1.00e-03,528.6
141,0.001057,0.001150,0.001020,0.000130,1.00e-04,1.00e-03,532.4
142,0.001062,0.001074,0.000944,0.000130,1.00e-04,1.00e-03,536.2
143,0.001053,0.001112,0.000982,0.000130,1.00e-04,1.00e-03,539.9
144,0.001051,0.001095,0.000965,0.000130,1.00e-04,1.00e-03,543.7
145,0.001044,0.001081,0.000951,0.000130,1.00e-04,1.00e-03,547.4
146,0.001042,0.001060,0.000930,0.000130,1.00e-04,1.00e-03,551.2
147,0.001040,0.001174,0.001044,0.000130,1.00e-04,1.00e-03,555.0
148,0.001041,0.001063,0.000933,0.000130,1.00e-04,1.00e-03,558.7
149,0.001033,0.001040,0.000911,0.000130,1.00e-04,1.00e-03,562.5
150,0.001034,0.001105,0.000976,0.000130,1.00e-04,1.00e-03,566.2
151,0.001029,0.001076,0.000947,0.000130,1.00e-04,1.00e-03,570.0
152,0.001028,0.001035,0.000906,0.000130,1.00e-04,1.00e-03,573.7
153,0.001021,0.001040,0.000910,0.000129,1.00e-04,1.00e-03,577.5
154,0.001014,0.001073,0.000943,0.000130,1.00e-04,1.00e-03,581.2
155,0.001019,0.001063,0.000933,0.000130,1.00e-04,1.00e-03,585.0
156,0.001014,0.001050,0.000920,0.000129,1.00e-04,1.00e-03,588.8
157,0.001006,0.001086,0.000957,0.000129,1.00e-04,1.00e-03,592.5
158,0.001007,0.001037,0.000908,0.000129,1.00e-04,1.00e-03,596.3
159,0.001011,0.001063,0.000933,0.000129,1.00e-04,1.00e-03,600.0
160,0.001002,0.001121,0.000992,0.000129,1.00e-04,1.00e-03,603.8
161,0.001016,0.001019,0.000890,0.000129,1.00e-04,1.00e-03,607.5
162,0.000998,0.001027,0.000897,0.000129,1.00e-04,1.00e-03,611.3
163,0.000992,0.001041,0.000911,0.000129,1.00e-04,1.00e-03,615.1
164,0.000992,0.001039,0.000910,0.000129,1.00e-04,1.00e-03,618.8
165,0.000992,0.001043,0.000914,0.000129,1.00e-04,1.00e-03,622.6
166,0.000985,0.001029,0.000900,0.000129,1.00e-04,1.00e-03,626.4
167,0.000986,0.001064,0.000935,0.000129,1.00e-04,1.00e-03,630.1
168,0.000986,0.001023,0.000894,0.000129,1.00e-04,1.00e-03,633.9
169,0.000987,0.001018,0.000889,0.000129,1.00e-04,1.00e-03,637.6
170,0.000976,0.001065,0.000936,0.000129,1.00e-04,1.00e-03,641.4
171,0.000984,0.000995,0.000866,0.000129,1.00e-04,1.00e-03,645.2
172,0.000971,0.001063,0.000935,0.000129,1.00e-04,1.00e-03,648.9
173,0.000973,0.001005,0.000876,0.000129,1.00e-04,1.00e-03,652.7
174,0.000967,0.001039,0.000910,0.000129,1.00e-04,1.00e-03,656.5
175,0.000967,0.001038,0.000909,0.000129,1.00e-04,1.00e-03,660.2
176,0.000965,0.001000,0.000871,0.000129,1.00e-04,1.00e-03,664.0
177,0.000968,0.001052,0.000924,0.000129,1.00e-04,1.00e-03,667.8
178,0.000963,0.001002,0.000873,0.000129,1.00e-04,1.00e-03,671.5
179,0.000955,0.001013,0.000885,0.000129,1.00e-04,1.00e-03,675.3
180,0.000959,0.000992,0.000864,0.000129,1.00e-04,1.00e-03,679.0
181,0.000956,0.001015,0.000887,0.000128,1.00e-04,1.00e-03,682.8
182,0.000952,0.000967,0.000838,0.000128,1.00e-04,1.00e-03,686.6
183,0.000949,0.001011,0.000882,0.000128,1.00e-04,1.00e-03,690.4
184,0.000944,0.000973,0.000844,0.000128,1.00e-04,1.00e-03,694.1
185,0.000949,0.000982,0.000854,0.000128,1.00e-04,1.00e-03,697.9
186,0.000941,0.001082,0.000953,0.000128,1.00e-04,1.00e-03,701.7
187,0.000944,0.000969,0.000841,0.000128,1.00e-04,1.00e-03,705.4
188,0.000940,0.001038,0.000909,0.000128,1.00e-04,1.00e-03,709.2
189,0.000937,0.000975,0.000846,0.000128,1.00e-04,1.00e-03,713.0
190,0.000936,0.000993,0.000865,0.000128,1.00e-04,1.00e-03,716.7
191,0.000932,0.000952,0.000824,0.000128,1.00e-04,1.00e-03,720.5
192,0.000930,0.000981,0.000853,0.000128,1.00e-04,1.00e-03,724.3
193,0.000928,0.000974,0.000846,0.000128,1.00e-04,1.00e-03,728.0
194,0.000926,0.000966,0.000839,0.000128,1.00e-04,1.00e-03,731.8
195,0.000928,0.001017,0.000889,0.000128,1.00e-04,1.00e-03,735.6
196,0.000924,0.000951,0.000823,0.000128,1.00e-04,1.00e-03,739.4
197,0.000918,0.000978,0.000851,0.000128,1.00e-04,1.00e-03,743.1
198,0.000922,0.000977,0.000850,0.000128,1.00e-04,1.00e-03,746.9
199,0.000919,0.000959,0.000831,0.000128,1.00e-04,1.00e-03,750.7
200,0.000918,0.000941,0.000814,0.000128,1.00e-04,1.00e-03,754.5
201,0.000917,0.000959,0.000832,0.000128,1.00e-04,1.00e-03,758.3
202,0.000914,0.000936,0.000809,0.000128,1.00e-04,1.00e-03,762.0
203,0.000912,0.000946,0.000818,0.000128,1.00e-04,1.00e-03,765.8
204,0.000908,0.000938,0.000811,0.000127,1.00e-04,1.00e-03,769.6
205,0.000907,0.000935,0.000808,0.000127,1.00e-04,1.00e-03,773.3
206,0.000909,0.000974,0.000846,0.000127,1.00e-04,1.00e-03,777.1
207,0.000905,0.001009,0.000882,0.000127,1.00e-04,1.00e-03,780.9
208,0.000906,0.000930,0.000802,0.000127,1.00e-04,1.00e-03,784.6
209,0.000898,0.000958,0.000831,0.000127,1.00e-04,1.00e-03,788.4
210,0.000899,0.000960,0.000832,0.000127,1.00e-04,1.00e-03,792.2
211,0.000892,0.000978,0.000851,0.000127,1.00e-04,1.00e-03,795.9
212,0.000893,0.000997,0.000870,0.000127,1.00e-04,1.00e-03,799.7
213,0.000895,0.000940,0.000813,0.000127,1.00e-04,1.00e-03,803.4
214,0.000895,0.001000,0.000873,0.000127,1.00e-04,1.00e-03,807.2
215,0.000883,0.000912,0.000785,0.000127,1.00e-04,1.00e-03,810.9
216,0.000892,0.000897,0.000770,0.000127,1.00e-04,1.00e-03,814.7
217,0.000885,0.000931,0.000804,0.000127,1.00e-04,1.00e-03,818.5
218,0.000887,0.000950,0.000823,0.000127,1.00e-04,1.00e-03,822.2
219,0.000883,0.000971,0.000844,0.000127,1.00e-04,1.00e-03,826.0
220,0.000881,0.000929,0.000803,0.000127,1.00e-04,1.00e-03,829.8
221,0.000884,0.000912,0.000786,0.000127,1.00e-04,1.00e-03,833.5
222,0.000880,0.000898,0.000771,0.000127,1.00e-04,1.00e-03,837.3
223,0.000878,0.000980,0.000853,0.000126,1.00e-04,1.00e-03,841.1
224,0.000872,0.000935,0.000808,0.000126,1.00e-04,1.00e-03,844.9
225,0.000873,0.000956,0.000830,0.000126,1.00e-04,1.00e-03,848.6
226,0.000876,0.000927,0.000801,0.000126,1.00e-04,1.00e-03,852.4
227,0.000868,0.000956,0.000830,0.000126,1.00e-04,1.00e-03,856.1
228,0.000874,0.000947,0.000820,0.000126,1.00e-04,1.00e-03,859.9
229,0.000875,0.000918,0.000792,0.000126,1.00e-04,1.00e-03,863.6
230,0.000870,0.000918,0.000792,0.000126,1.00e-04,1.00e-03,867.4
231,0.000866,0.000907,0.000781,0.000126,1.00e-04,1.00e-03,871.2
232,0.000864,0.000886,0.000760,0.000126,1.00e-04,1.00e-03,874.9
233,0.000863,0.000971,0.000845,0.000126,1.00e-04,1.00e-03,878.7
234,0.000863,0.000905,0.000779,0.000126,1.00e-04,1.00e-03,882.5
235,0.000864,0.000894,0.000768,0.000126,1.00e-04,1.00e-03,886.2
236,0.000860,0.000981,0.000855,0.000126,1.00e-04,1.00e-03,890.0
237,0.000857,0.000890,0.000765,0.000126,1.00e-04,1.00e-03,893.7
238,0.000855,0.000968,0.000843,0.000126,1.00e-04,1.00e-03,897.5
239,0.000857,0.000891,0.000765,0.000126,1.00e-04,1.00e-03,901.3
240,0.000851,0.000954,0.000828,0.000126,1.00e-04,1.00e-03,905.1
241,0.000856,0.000884,0.000758,0.000126,1.00e-04,1.00e-03,908.8
242,0.000854,0.000906,0.000780,0.000126,1.00e-04,1.00e-03,912.6
243,0.000850,0.000976,0.000850,0.000126,1.00e-04,1.00e-03,916.3
244,0.000847,0.000884,0.000759,0.000125,1.00e-04,1.00e-03,920.1
245,0.000840,0.000866,0.000741,0.000125,1.00e-04,1.00e-03,923.9
246,0.000846,0.000910,0.000785,0.000125,1.00e-04,1.00e-03,927.7
247,0.000841,0.000916,0.000790,0.000125,1.00e-04,1.00e-03,931.5
248,0.000841,0.000912,0.000787,0.000125,1.00e-04,1.00e-03,935.2
249,0.000837,0.000877,0.000752,0.000125,1.00e-04,1.00e-03,939.0
250,0.000841,0.000870,0.000745,0.000125,1.00e-04,1.00e-03,942.7
251,0.000836,0.000866,0.000741,0.000125,1.00e-04,1.00e-03,946.5
252,0.000837,0.000942,0.000817,0.000125,1.00e-04,1.00e-03,950.2
253,0.000832,0.000902,0.000777,0.000125,1.00e-04,1.00e-03,954.0
254,0.000835,0.000919,0.000794,0.000125,1.00e-04,1.00e-03,957.7
255,0.000831,0.000944,0.000819,0.000125,1.00e-04,1.00e-03,961.5
256,0.000834,0.000932,0.000807,0.000125,1.00e-04,1.00e-03,965.2
257,0.000835,0.000901,0.000776,0.000125,1.00e-04,1.00e-03,969.0
